x,y,t
0.009772238,1.213596672,2
0.28293321,1.215039875,2
0.488765774,1.230302787,2
0.702293013,1.249463612,2
0.998538012,1.280206188,2
1.302477685,1.31875904,2
1.600646353,1.335804733,2
0.025161588,0.972957443,4
0.286780548,0.995940318,4
0.490689443,1.026856295,4
0.702293013,1.061670185,4
0.998538012,1.1413173,4
1.304401354,1.201384536,4
1.598722684,1.237999269,4
0.025161588,0.879060729,6
0.286780548,0.898131242,6
0.490689443,0.927091037,6
0.700369344,0.96190854,6
0.994690674,1.029822177,6
1.302477685,1.097710527,6
1.598722684,1.163664371,6
0.019390582,0.789087216,8
0.111726685,0.796738541,8
0.288704217,0.804230915,8
0.361803632,0.802137458,8
0.496460449,0.82535876,8
0.698445676,0.854322168,8
0.992767005,0.90267399,8
1.300554017,0.97056234,8
1.600646353,1.042377503,8
